id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
UzoJhM	nIMDsq	Klimentidis2018mvpa	Deming2017ptau	5e-8	TRUE	0	NA	NA
dwDciW	ZJvond	Klimentidis2018mvpa	Deming2017ptau	5e-6	TRUE	0	NA	NA
bQcbxb	dRryQE	Day2018sociso	Deming2017ptau	5e-8	TRUE	0	NA	NA
KedBoX	H3cKKw	Day2018sociso	Deming2017ptau	5e-6	TRUE	0	NA	NA
dCVZKA	2VKuik	Wells2019hdiff	Deming2017ptau	5e-8	TRUE	1	NA	NA
HlzoW3	jcCwPG	Wells2019hdiff	Deming2017ptau	5e-6	TRUE	1	9.5684072812830685	0.68
ZaCBam	YV9bR0	Evangelou2018dbp	Deming2017ptau	5e-8	TRUE	0	NA	NA
6lXWNY	sQAfvW	Evangelou2018dbp	Deming2017ptau	5e-6	TRUE	0	NA	NA
afwUi8	dKmmWK	Evangelou2018sbp	Deming2017ptau	5e-8	TRUE	0	NA	NA
9jFDbi	BF86Km	Evangelou2018sbp	Deming2017ptau	5e-6	TRUE	0	NA	NA
GJiWQA	XtQNpx	Evangelou2018pp	Deming2017ptau	5e-8	TRUE	0	NA	NA
1QvK4J	Rlas7b	Evangelou2018pp	Deming2017ptau	5e-6	TRUE	0	NA	NA
mcAVC2	cfEr1h	Lee2018education23andMe	Deming2017ptau	5e-8	TRUE	1	NA	NA
3fIyIx	dBUFnn	Lee2018education23andMe	Deming2017ptau	5e-6	TRUE	2	6.39265607357624	0.765
ol0Bsi	xSXwFp	SanchezRoige2019auditt23andMe	Deming2017ptau	5e-8	TRUE	0	NA	NA
bFijR0	VFptEj	SanchezRoige2019auditt23andMe	Deming2017ptau	5e-6	TRUE	0	NA	NA
uYzoIM	aZA0jq	Howard2019dep23andMe	Deming2017ptau	5e-8	TRUE	0	NA	NA
h6HrMZ	XXPtaZ	Howard2019dep23andMe	Deming2017ptau	5e-6	TRUE	0	NA	NA
T5plBH	ouIgSw	Jansen2018insomnia23andMe	Deming2017ptau	5e-8	TRUE	0	NA	NA
Sk2VVB	vkJC9F	Jansen2018insomnia23andMe	Deming2017ptau	5e-6	TRUE	0	NA	NA
hnmArq	STINcT	Liu2019smkint23andMe	Deming2017ptau	5e-8	TRUE	0	NA	NA
FzjKJ4	CY5px6	Liu2019smkint23andMe	Deming2017ptau	5e-6	TRUE	0	NA	NA
4yRK59	Iup8Oe	Liu2019smkcpd23andMe	Deming2017ptau	5e-8	TRUE	0	NA	NA
jqgIML	6IMFzA	Liu2019smkcpd23andMe	Deming2017ptau	5e-6	TRUE	0	NA	NA
0NAOvm	zj3zQZ	Liu2019drnkwk23andMe	Deming2017ptau	5e-8	TRUE	0	NA	NA
QjFZBp	ycqL3k	Liu2019drnkwk23andMe	Deming2017ptau	5e-6	TRUE	1	21.54871830534013	0.075
