id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
9EbmYi	tHo8SF	Kunkle2019load	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
79GFKv	Gf1myk	Kunkle2019load	Klimentidis2018mvpa	5e-6	TRUE	1	122.21243304964938	0.051
ai1vAE	ZmpLEo	Huang2017aaos	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
EuvHi3	ICoeKH	Huang2017aaos	Klimentidis2018mvpa	5e-6	TRUE	0	NA	NA
Vc8Rns	NJqulg	Deming2017ab42	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
NB3Lrs	AjfxKL	Deming2017ab42	Klimentidis2018mvpa	5e-6	TRUE	0	NA	NA
SwSVJw	vkTFnk	Deming2017ptau	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
OMDjgT	5UJptq	Deming2017ptau	Klimentidis2018mvpa	5e-6	TRUE	0	NA	NA
GlZAg0	BNV1tI	Deming2017tau	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
XctjhM	Z1wpdV	Deming2017tau	Klimentidis2018mvpa	5e-6	TRUE	0	NA	NA
AGmBpo	yNncL3	Hilbar2017hipv	Klimentidis2018mvpa	5e-8	TRUE	2	28.748588158886744	0.122
i8KX9g	jMOJKt	Hilbar2017hipv	Klimentidis2018mvpa	5e-6	TRUE	2	113.41126945950536	0.0625
B0lUev	yrXfUG	Beecham2014npany	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
zqewiX	S99cIA	Beecham2014npany	Klimentidis2018mvpa	5e-6	TRUE	0	NA	NA
gPsNDS	6bjowc	Beecham2014braak4	Klimentidis2018mvpa	5e-8	TRUE	0	NA	NA
